stop_id,stop_name,Borough,Rides2019,Rides2020,Linked,node_link,stop_lat,stop_lon,ratio20to19,zRatio20to19
216,Freeman St,Bx,1358821,642087,1,216,40.829993,-73.891865,0.4725324380473955,0.6542498531724835
217,Simpson St,Bx,2602749,1230833,1,217,40.824073,-73.893064,0.4728973097290595,0.658339580712395
218,Intervale Av,Bx,964689,472958,1,218,40.822181,-73.896736,0.4902699211870354,0.8530635099464637
219,Prospect Av,Bx,2148059,1021781,1,219,40.819585,-73.90177,0.47567641298493196,0.6894896416597505
220,Jackson Av,Bx,1584727,740308,1,220,40.81649,-73.907807,0.4671517554758643,0.5939395391575575
221,3 Av-149 St,Bx,6768255,3166766,1,221,40.816109,-73.917757,0.4678851491263258,0.6021599091139473
222,149 St-Grand Concourse,Bx,3931908,1815785,2,LINK_222,40.81841,-73.926718,0.4618076007882178,0.5340386542658143
224,135 St,M,4268823,1867402,1,224,40.814229,-73.94077,0.4374512599843095,0.2610363831579969
225,125 St,M,4644262,1848803,1,225,40.807754,-73.945495,0.39808326920401993,-0.1802265708505167
226,116 St,M,3345661,1375593,1,226,40.802098,-73.949625,0.4111573168949275,-0.03368383929139209
227,Central Park North (110 St),M,2666985,1060348,1,227,40.799075,-73.951822,0.3975830385247761,-0.18583349319615308
228,Park Place,M,20820549,5930847,4,LINK_317,40.713051,-74.008811,0.28485545698146575,-1.449360146299856
229,Fulton St,M,27715365,8855302,4,LINK_229,40.709416,-74.006571,0.31950876346026835,-1.0609425491626745
230,Wall St,M,6910581,2029161,1,230,40.706821,-74.0091,0.2936310275503608,-1.3509976412395377
231,Clark St,B,1781419,589682,1,231,40.697466,-73.993086,0.3310181377879095,-0.9319377304268545
232,Borough Hall,B,10135722,3356706,3,LINK_232,40.693219,-73.989998,0.33117581559557374,-0.9301703713665506
233,Hoyt St,B,2293256,898643,1,233,40.690545,-73.985065,0.3918633593458384,-0.2499435094925064
234,Nevins St,B,3150597,1189273,1,234,40.688246,-73.980492,0.3774754435429222,-0.41121295970786437
235,Atlantic Av-Barclays Ctr,B,13939794,5474265,3,LINK_235,40.684359,-73.977666,0.3927077401574227,-0.24047912068721447
236,Bergen St,B,1208319,435520,1,236,40.680829,-73.975098,0.36043462032791007,-0.6022179828638311
237,Grand Army Plaza,B,2295401,813305,1,237,40.675235,-73.971046,0.3543193542217678,-0.6707620038580524
238,Eastern Pkwy-Brooklyn Museum,B,1338351,441688,1,238,40.671987,-73.964375,0.3300240370425994,-0.9430802810819217
239,Franklin Av-Medgar Evers College,B,4999385,1849090,3,LINK_239,40.670682,-73.958131,0.3698634932096648,-0.49653282549844824
241,President St-Medgar Evers College,B,1037219,443229,1,241,40.667883,-73.950683,0.42732441268430293,0.14752785844478392
242,Sterling St,B,1654809,745895,1,242,40.662742,-73.95085,0.4507438622825958,0.41002882194760515
243,Winthrop St,B,1882065,974253,1,243,40.656652,-73.9502,0.517651090690279,1.159970098261821
244,Church Av,B,2862033,1335645,1,244,40.650843,-73.949575,0.46667700896530545,0.5886182605374835
245,Beverly Rd,B,1284232,607427,1,245,40.645098,-73.948959,0.47298852543777137,0.659361987807103
246,Newkirk Av-Little Haiti,B,2131839,1021789,1,246,40.639967,-73.948411,0.4792993279511258,0.7300977125421676
247,Flatbush Av-Brooklyn College,B,5684108,2404776,1,247,40.632836,-73.947642,0.42307007537506325,0.09984238069457992
248,Nostrand Av,B,1370372,512753,1,248,40.669847,-73.950466,0.3741706631484006,-0.44825516405541604
249,Kingston Av,B,1472802,620880,1,249,40.669399,-73.942161,0.42156379472597133,0.08295897273775475
250,Crown Hts-Utica Av,B,7933008,3654953,1,250,40.668897,-73.932942,0.4607272550336518,0.5219294114631812
251,Sutter Av-Rutland Rd,B,2019485,995590,1,251,40.664717,-73.92261,0.49299202519454216,0.8835746849305892
252,Saratoga Av,B,1556357,786160,1,252,40.661453,-73.916327,0.5051283221009062,1.019606474145187
253,Rockaway Av,B,1451431,722986,1,253,40.662549,-73.908946,0.4981194421229807,0.9410462270497476
254,Junius St,B,676092,346436,1,254,40.663515,-73.902447,0.5124095537293741,1.1012194219618332
255,Pennsylvania Av,B,1360708,662596,1,255,40.664635,-73.894895,0.48694944102628923,0.8158453320456729
256,Van Siclen Av,B,853106,413650,1,256,40.665449,-73.889395,0.4848752675517462,0.7925965988397811
257,New Lots Av,B,1643487,800943,1,257,40.666235,-73.884079,0.48734367841059895,0.8202642101578927
301,Harlem-148 St,M,1120454,473937,1,301,40.82388,-73.93647,0.4229865750847424,0.09890645320533684
302,145 St,M,954825,438388,1,302,40.820421,-73.936245,0.45912915979367946,0.5040168837369705
401,Woodlawn,Bx,2094285,949554,1,401,40.886037,-73.878751,0.45340247387533217,0.4398283311864536
402,Mosholu Pkwy,Bx,2491758,1274467,1,402,40.87975,-73.884655,0.5114730242664015,1.0907221690120024
405,Bedford Park Blvd-Lehman College,Bx,1538253,691845,1,405,40.873412,-73.890064,0.44976021499714286,0.39900344071075716
406,Kingsbridge Rd,Bx,2733096,1357273,1,406,40.86776,-73.897174,0.49660641265436706,0.9240871737785641
407,Fordham Rd,Bx,3120976,1580225,1,407,40.862803,-73.901034,0.506323983266773,1.033008249739683
408,183 St,Bx,1779224,951634,1,408,40.858407,-73.903879,0.5348590171895163,1.3528481275672064
409,Burnside Av,Bx,3113514,1473081,1,409,40.853453,-73.907684,0.4731249000325677,0.66089056611041
410,176 St,Bx,1713696,876865,1,410,40.84848,-73.911794,0.5116806014602356,1.0930488339984692
411,Mt Eden Av,Bx,1551038,823443,1,411,40.844434,-73.914685,0.5308980179724804,1.308450580710185
412,170 St,Bx,2487611,1265950,1,412,40.840075,-73.917791,0.5089019143266371,1.0619034372298075
413,167 St,Bx,2653237,1396287,1,413,40.835537,-73.9214,0.526257925696046,1.256441301491479
414,161 St-Yankee Stadium,Bx,8254928,3221651,2,LINK_414,40.827994,-73.925831,0.3902700302171018,-0.2678026154341313
415,149 St-Grand Concourse,Bx,3931908,1815785,2,LINK_222,40.818375,-73.927351,0.4618076007882178,0.5340386542658143
416,138 St-Grand Concourse,Bx,1035878,371408,1,416,40.813224,-73.929849,0.35854415288286845,-0.6234076151697209
418,Fulton St,M,27715365,8855302,4,LINK_229,40.710368,-74.009509,0.31950876346026835,-1.0609425491626745
419,Wall St,M,5720475,1710383,1,419,40.707557,-74.011862,0.2989931780140635,-1.2908950475700578
420,Bowling Green,M,8362034,2503222,1,420,40.704817,-74.014065,0.2993556352437696,-1.2868323828337629
423,Borough Hall,B,10135722,3356706,3,LINK_232,40.692404,-73.990151,0.33117581559557374,-0.9301703713665506
501,Eastchester-Dyre Av,Bx,1331886,631122,1,501,40.8883,-73.830834,0.4738558705474793,0.6690837759316364
502,Baychester Av,Bx,1094872,491293,1,502,40.878663,-73.838591,0.4487218597242417,0.3873648555061479
503,Gun Hill Rd,Bx,2271942,1012373,2,LINK_208,40.869526,-73.846384,0.4455980830496553,0.352351462753043
504,Pelham Pkwy,Bx,2651208,1222206,2,LINK_211,40.858985,-73.855359,0.4609996650583432,0.5249827664811632
505,Morris Park,Bx,711229,318988,1,505,40.854364,-73.860495,0.4485025216913259,0.38490636711462645
601,Pelham Bay Park,Bx,2134403,951324,1,601,40.852462,-73.828121,0.4457096433991144,0.3536019062828455
602,Buhre Av,Bx,1146032,519694,1,602,40.84681,-73.832569,0.4534725033855948,0.44061326910057574
603,Middletown Rd,Bx,597839,257912,1,603,40.843863,-73.836322,0.43140711796988823,0.1932895688840559
604,Westchester Sq-E Tremont Av,Bx,1796415,835515,1,604,40.839892,-73.842952,0.4651013268092284,0.5709569537502145
606,Zerega Av,Bx,795756,361499,1,606,40.836488,-73.847036,0.45428372516198434,0.44970598910763543
607,Castle Hill Av,Bx,1954511,947432,1,607,40.834255,-73.851222,0.484741196135504,0.7910938361128408
608,Parkchester,Bx,4734709,2205552,1,608,40.833226,-73.860816,0.46582630527029223,0.5790830005964189
609,St Lawrence Av,Bx,1276865,641826,1,609,40.831509,-73.867618,0.5026576811174244,0.9919138660883002
610,Morrison Av-Soundview,Bx,1970185,1000610,1,610,40.829521,-73.874516,0.5078761639135411,1.0504061357829468
611,Elder Av,Bx,1996492,1053012,1,611,40.828584,-73.879159,0.5274311141742617,1.2695911880679969
612,Whitlock Av,Bx,586845,308198,1,612,40.826525,-73.886283,0.5251778578670688,1.2443351738660213
613,Hunts Point Av,Bx,3174354,1633812,1,613,40.820948,-73.890549,0.5146911781105699,1.1267934046424108
614,Longwood Av,Bx,949680,390165,1,614,40.816104,-73.896435,0.4108383876674248,-0.03725861286398595
615,E 149 St,Bx,1467410,788235,1,615,40.812118,-73.904098,0.5371607117301913,1.3786470701119709
616,E 143 St-St Mary's St,Bx,313938,168285,1,616,40.808719,-73.907657,0.5360453337920227,1.3661451630022325
